antena,latitud,longitud
abasolo presidencia municipal,20.425277777778,-101.19805555556
san luis de la paz presidencia municipal,21.295861111111,-100.52330555556
purisima del rincon purisima del rincon,37.994349999957,-5.6668700000748
san miguel de allende presidencia municipal,20.914755555556,-100.74380555556
guanajuato universidad gto sede belen,21.017583333333,-101.25736111111
nativitas,19.468404,-99.169794
secundaria,20.692413,-101.364861
biblioteca san luis potosi,22.174222222222,-100.99308333333
villa de las flores mexico,19.658223,-99.09659
tecnologico,19.262127777778,-103.72403333333
dif san luis potosi,22.13175,-100.97691666667
celaya policia celaya,20.518569711338,-100.81674332276
dif,20.558094,-101.204941
facultad de medicina,21.133545,-101.679543
irapuato bomberos,21.118055555556,-101.60216666667
cruz roja,20.578896,-101.199211
t 21,51.399089,21.147484
san juanico,20.537489,-100.839905
hospital general,20.947924,-101.425774
teodula,20.629554249053,-103.26392977309
ciceg,21.10343,-101.636345
industriales potosinos asociados san luis potosi estatal san luis potosi,22.15125,-100.99611111111
primaria melchor ocampo tepeji hidalgo,20.505555555556,-99.580277777778
centro de salud atitalaquia hidalgo,20.06,-99.221944444444
primaria revolucion atotonilco hidalgo,20.006666666667,-99.218888888889
biblioteca tizayuca hidalgo,19.840583333333,-98.981333333333
hospital huichapan hidalgo,20.375111111111,-99.654444444444
tulancingo hidalgo,20.08525,-98.366638888889
estacion de bomberos de cd sahagun tepeapulco hidalgo,19.771694444444,-98.577694444444
museo del rehilete hgo,20.07687,-98.77799
finanzas saltillo coahuila,25.421472222222,-100.99686111111
centro de salud apizaco tlaxcala,19.409853333333,-98.150011111111
palacio municipal morelia,19.702153,-101.190948
velodromo puebla,19.115858055556,-98.277487222222
metepec toluca,19.270192914173,-99.595307048355
toluca centro toluca,19.294298341379,-99.655297086786
tlalnepantla mexico,19.529077,-99.204597
oxtotitlan toluca,19.327295758859,-99.6343051152
xalostoc mexico,19.525995,-99.0824
cuautitlan mexico,20.629554249053,-103.26392977309
san agustin mexico,22.13175,-100.97691666667
nezahualcoyotl mexico,20.629554249053,-103.26392977309
ceboruco toluca,19.260413888889,-99.645613888889
fes aragon mexico,19.482473,-99.243524
fes acatlan mexico,19.482473,-99.243524
tultitlan mexico,19.601973592327,-99.176832931342
gustavo a. madero mexico,19.4827,-99.094517
centro chih1 chihuahua  estatal,28.652227777778,-106.08535833333
sur chih1 chihuahua  estatal,28.632775,-106.03886694444
durango durango,24.03447,-104.64503
obispado nuevo leon,25.6745177,-100.3473334
s catarina nuevo leon,25.6869003,-100.4220058
universidad monterrey nuevo leon,25.73,-100.30972222222
s pedro nuevo leon,25.6573447,-100.4017501
escobedo nuevo leon,25.7802165,-100.3161126
san nicolas nuevo leon,25.7493469,-100.2868973
pastora nuevo leon,25.6717286,-100.2231895
apodaca nuevo leon,25.7815621,-100.1875974
juarez nuevo leon,25.7493469,-100.2868973
metrorrey nuevo leon,25.7779954,-100.3775906
pueblo serena monterrey nuevo leon,25.575277777778,-100.24916666667
garcia nuevo leon,25.7493469,-100.2868973
cadereyta monterrey nuevo leon,25.600555555556,-99.994166666667
centro aguascalientes,21.883780555556,-102.295825
secretaria de medio ambiente aguascalientes,21.846391666667,-102.28843055556
secundaria leyes de reforma aguascalientes,21.903003362672,-102.28461279505
hospital general de mexico mexico,20.947924,-101.425774
merced mexico,19.42461,-99.119594
benito juarez mexico,19.371612,-99.158969
pedregal mexico,19.325146,-99.204136
miguel hidalgo mexico,19.40405,-99.202603
uam iztapalapa mexico,19.360794,-99.07388
iztacalco mexico,19.384413,-99.117641
tlahuac mexico,19.246459,-99.010564
ajusco medio mexico,19.2721,-99.207658
centro de ciencias de la atmosfera mexico,19.3262,-99.1761
uam xochimilco mexico,19.304441,-99.103629
estacion de monitoreo cuernavaca centro morelos,18.90861,-99.21167
palacio municipal cuautla cuautla morelos,18.812986944444,-98.955305833333
tecnologico de tepic tepic nayarit,21.509805555556,-104.91018055556
miravalle guadalajara,20.61504997567,-103.34343019128
las pintas guadalajara,20.5767,-103.32652222222
vallarta guadalajara,20.680450840176,-103.39873310432
centro jalisco,20.67236666666667,-103.33335883333334
tecnologico de zacatepec zacatepec morelos,18.654444444444,-99.183333333333
sds01 merida yucatan,20.973272222222,-89.624811111111
