antena
"Abasolo-presidencia municipal"
"San-luis de la paz presidencia municipal"
"Purisima-del rincon purisima del rincon"
"San-miguel de allende presidencia municipal"
"Guanajuato-universidad gto sede belen"
nativitas
secundaria
"biblioteca,-san luis potosi"
"villa-de las flores, mexico"
tecnologico
"dif,-san luis potosi"
"celaya-policia, celaya"
dif
"Facultad-de medicina"
irapuato-bomberos
cruz-roja
t-21
san-juanico
hospital-general
teodula
ciceg
"industriales-potosinos asociados, san luis potosi estatal, san luis potosi"
"primaria-melchor ocampo, tepeji, hidalgo"
"centro-de salud, atitalaquia, hidalgo"
"primaria-revolucion, atotonilco, hidalgo"
"biblioteca,-tizayuca, hidalgo"
"hospital,-huichapan, hidalgo"
tulancingo,-hidalgo
"estacion-de bomberos de cd sahagun, tepeapulco, hidalgo"
"museo-del rehilete, hgo"
"finanzas,-saltillo, coahuila"
"centro-de salud, apizaco, tlaxcala"
"palacio-municipal, morelia"
velodromo,-puebla
metepec,-toluca
"toluca-centro, toluca"
tlalnepantla,-mexico
oxtotitlan,-toluca
xalostoc,-mexico
cuautitlan,-mexico
"san-agustin, mexico"
nezahualcoyotl,-mexico
ceboruco,-toluca
"fes-aragon, mexico"
"fes-acatlan, mexico"
tultitlan,-mexico
"gustavo-a. madero, mexico"
"centro,-chih1, chihuahua -estatal"
"sur,-chih1, chihuahua -estatal"
durango,-durango
"obispado,-nuevo leon"
"s-catarina, nuevo leon"
"universidad,-monterrey, nuevo leon"
"s-pedro, nuevo leon"
"escobedo,-nuevo leon"
"san-nicolas, nuevo leon"
"pastora,-nuevo leon"
"apodaca,-nuevo leon"
"juarez,-nuevo leon"
"metrorrey,-nuevo leon"
"pueblo-serena, monterrey, nuevo leon"
"garcia,-nuevo leon"
"cadereyta,-monterrey, nuevo leon"
centro,-aguascalientes
"secretaria-de medio ambiente, aguascalientes"
"secundaria-leyes de reforma, aguascalientes"
"hospital-general de mexico, mexico"
merced,-mexico
"benito-juarez, mexico"
pedregal,-mexico
"miguel-hidalgo, mexico"
"uam-iztapalapa, mexico"
iztacalco,-mexico
tlahuac,-mexico
"ajusco-medio, mexico"
"centro-de ciencias de la atmosfera, mexico"
"uam-xochimilco, mexico"
"estacion-de monitoreo cuernavaca centro, morelos"
"palacio-municipal cuautla, cuautla, morelos"
"tecnologico-de tepic, tepic, nayarit"
miravalle,-guadalajara
"las-pintas, guadalajara"
vallarta,-guadalajara
centro,-jalisco
"tecnologico-de zacatepec, zacatepec, morelos"
"sds01,-merida, yucatan"
